OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x)))" 
0, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x)))" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.10059618204832077" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.088607646524906158" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.068008236587047577" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.059865586459636688" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.12287721782922745" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.21335197985172272" 
0, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.21986331045627594" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.050298091024160385" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.044303823262453079" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.034004118293523788" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.029932793229818344" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.061438608914613724" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.10667598992586136" 
0, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))-0.10993165522813797" 
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.10059618204832077" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.088607646524906158" 
0, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.068008236587047577" 
0, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.059865586459636688" 
0, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.12287721782922745" 
0, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.21335197985172272" 
0, comb, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.21986331045627594" 
0, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.050298091024160385" 
0, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.044303823262453079" 
0, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.937172*((1.+(0.0352684*x))/(1.+(0.0331679*x))))+0.034004118293523788" 
